snr	estimator	seconds	lambda	residual	residual_minus_noise	relative_x_error	active_selection_mean	inactive_selection_mean	interval_coverage	active_interval_coverage	inactive_interval_coverage
30	fista	22.970653301	2.1266246784487773e-7	0.0021770755796234223	-2.7679870665685453e-6	0.4251481304710265	NaN	NaN	NaN	NaN	NaN
30	bootstrap	169.895388918	2.1266246784487773e-7	0.002183143016896911	3.299450206920365e-6	0.5083654549936975	0.8236842105263157	0.011954522655074403	0.997	0.10526315789473684	0.99983280387895
30	noise	200.38694959	2.1266246784487773e-7	0.002180644044047815	8.004773578242953e-7	0.49284904708906135	0.8526315789473684	0.012121718776124394	0.9973333333333333	0.21052631578947367	0.99983280387895
30	stability	81.040676056	2.1266246784487773e-7	NaN	NaN	NaN	0.7447368421052631	0.009170707239592043	NaN	NaN	NaN
30	refit	1.954855592	2.1266246784487773e-7	0.002164664292379961	-1.51792743100297e-5	0.44551114495655547	NaN	NaN	NaN	NaN	NaN
15	fista	21.625259440999997	1.959066341981019e-6	0.012254545563543686	-1.1602073898484e-6	0.8446933060922868	NaN	NaN	NaN	NaN	NaN
15	bootstrap	109.024521406	1.959066341981019e-6	0.012260361517425223	4.655746491688886e-6	0.8900288477269471	0.3026315789473684	0.005316836649389734	0.9973333333333333	0.21052631578947367	0.99983280387895
15	noise	109.260799227	1.959066341981019e-6	0.012250636985401008	-5.068785532526612e-6	0.8768696731769224	0.32105263157894737	0.005609429861227219	0.997	0.15789473684210525	0.9996656077579
15	stability	37.783462349	1.959066341981019e-6	NaN	NaN	NaN	0.2131578947368421	0.0034191606754723288	NaN	NaN	NaN
15	refit	0.129695053	1.959066341981019e-6	0.012217360013352399	-3.834575758113537e-5	0.8451554252999591	NaN	NaN	NaN	NaN	NaN
